en
S,en,Azerbaijan,ru,РђР·РµСЂР±Р°Р№РґР¶Р°РЅ
T,en,Baku,ru,Р‘Р°РєСѓ
T,en,Ganca,ru,Р“СЏРЅРґР¶Р°
T,en,Sumqayit,ru,РЎСѓРјРіР°РёС‚
T,en,Mingacevir,ru,РњРёРЅРіРµС‡Р°СѓСЂ
T,en,Nakhichevan,ru,РќР°С…РёС‡РµРІР°РЅСЊ
T,en,Shaki,ru,РЁРµРєРё
S,en,Belarus,ru,Р‘РµР»РѕСЂСѓСЃСЃРёСЏ
T,en,Minsk,ru,РњРёРЅСЃРє
T,en,Brest,ru,Р‘СЂРµСЃС‚
T,en,Gomel,ru,Р“РѕРјРµР»СЊ
T,en,Grodno,ru,Р“СЂРѕРґРЅРѕ
T,en,Mogilev,ru,РњРѕРіРёР»РµРІ
T,en,Vitebsk,ru,Р’РёС‚РµР±СЃРє
T,en,Bobruysk,ru,Р‘РѕР±СЂСѓР№СЃРє
S,en,Estonia,ru,Р­СЃС‚РѕРЅРёСЏ
T,en,Tallinn,ru,РўР°Р»Р»РёРЅРЅ
T,en,Narva,ru,РќР°СЂРІР°
S,en,Russia,ru,Р РѕСЃСЃРёСЏ
T,en,Abakan,ru,РђР±Р°РєР°РЅ
T,en,Abaza,ru,РђР±Р°Р·Р°
T,en,Abdulino,ru,РђР±РґСѓР»РёРЅРѕ
T,en,Abinsk,ru,РђР±РёРЅСЃРє
T,en,Achinsk,ru,РђС‡РёРЅСЃРє
T,en,Adygeysk,ru,РђРґС‹РіРµР№СЃРє
T,en,Agidel,ru,РђРіРёРґРµР»СЊ
T,en,Agryz,ru,РђРіСЂС‹Р·
T,en,Ak-Dovurak,ru,РђРє-Р”РѕРІСѓСЂР°Рє
T,en,Akhtubinsk,ru,РђС…С‚СѓР±РёРЅСЃРє
T,en,Aksay,ru,РђРєСЃР°Р№
T,en,Alagir,ru,РђР»Р°РіРёСЂ
T,en,Alapayevsk,ru,РђР»Р°РїР°РµРІСЃРє
T,en,Alatyr,ru,РђР»Р°С‚С‹СЂСЊ
T,en,Aldan,ru,РђР»РґР°РЅ
T,en,Aleksandrov,ru,РђР»РµРєСЃР°РЅРґСЂРѕРІ
T,en,Aleksandrovsk,ru,РђР»РµРєСЃР°РЅРґСЂРѕРІСЃРє
T,en,Aleksandrovsk-Sakhalinsky,ru,РђР»РµРєСЃР°РЅРґСЂРѕРІСЃРє-РЎР°С…Р°Р»РёРЅСЃРєРёР№
T,en,Alekseyevka,ru,РђР»РµРєСЃРµРµРІРєР°
T,en,Aleksin,ru,РђР»РµРєСЃРёРЅ
T,en,Aleysk,ru,РђР»РµР№СЃРє
T,en,Almetyevsk,ru,РђР»СЊРјРµС‚СЊРµРІСЃРє
T,en,Alzamay,ru,РђР»Р·Р°РјР°Р№
T,en,Amursk,ru,РђРјСѓСЂСЃРє
T,en,Anadyr,ru,РђРЅР°РґС‹СЂСЊ
T,en,Anapa,ru,РђРЅР°РїР°
T,en,Andreapol,ru,РђРЅРґСЂРµР°РїРѕР»СЊ
T,en,Angarsk,ru,РђРЅРіР°СЂСЃРє
T,en,Aniva,ru,РђРЅРёРІР°
T,en,Anzhero-Sudzhensk,ru,РђРЅР¶РµСЂРѕ-РЎСѓРґР¶РµРЅСЃРє
T,en,Apatity,ru,РђРїР°С‚РёС‚С‹
T,en,Aprelevka,ru,РђРїСЂРµР»РµРІРєР°
T,en,Apsheronsk,ru,РђРїС€РµСЂРѕРЅСЃРє
T,en,Aramil,ru,РђСЂР°РјРёР»СЊ
T,en,Ardatov,ru,РђСЂРґР°С‚РѕРІ
T,en,Ardon,ru,РђСЂРґРѕРЅ
T,en,Argun,ru,РђСЂРіСѓРЅ
T,en,Arkadak,ru,РђСЂРєР°РґР°Рє
T,en,Arkhangelsk,ru,РђСЂС…Р°РЅРіРµР»СЊСЃРє
T,en,Armavir,ru,РђСЂРјР°РІРёСЂ
T,en,Arsenyev,ru,РђСЂСЃРµРЅСЊРµРІ
T,en,Artyom,ru,РђСЂС‚С‘Рј
T,en,Artyomovsk,ru,РђСЂС‚С‘РјРѕРІСЃРє
T,en,Artyomovsky,ru,РђСЂС‚С‘РјРѕРІСЃРєРёР№
T,en,Arzamas,ru,РђСЂР·Р°РјР°СЃ
T,en,Asbest,ru,РђСЃР±РµСЃС‚
T,en,Asha,ru,РђС€Р°
T,en,Asino,ru,РђСЃРёРЅРѕ
T,en,Astrakhan,ru,РђСЃС‚СЂР°С…Р°РЅСЊ
T,en,Atkarsk,ru,РђС‚РєР°СЂСЃРє
T,en,Aznakayevo,ru,РђР·РЅР°РєР°РµРІРѕ
T,en,Azov,ru,РђР·РѕРІ
T,en,Babayevo,ru,Р‘Р°Р±Р°РµРІРѕ
T,en,Babushkin,ru,Р‘Р°Р±СѓС€РєРёРЅ
T,en,Bagrationovsk,ru,Р‘Р°РіСЂР°С‚РёРѕРЅРѕРІСЃРє
T,en,Bakal,ru,Р‘Р°РєР°Р»
T,en,Baksan,ru,Р‘Р°РєСЃР°РЅ
T,en,Balabanovo,ru,Р‘Р°Р»Р°Р±Р°РЅРѕРІРѕ
T,en,Balakhna,ru,Р‘Р°Р»Р°С…РЅР°
T,en,Balakovo,ru,Р‘Р°Р»Р°РєРѕРІРѕ
T,en,Balashikha,ru,Р‘Р°Р»Р°С€РёС…Р°
T,en,Balashov,ru,Р‘Р°Р»Р°С€РѕРІ
T,en,Baley,ru,Р‘Р°Р»РµР№
T,en,Baltiysk,ru,Р‘Р°Р»С‚РёР№СЃРє
T,en,Barabinsk,ru,Р‘Р°СЂР°Р±РёРЅСЃРє
T,en,Barnaul,ru,Р‘Р°СЂРЅР°СѓР»
T,en,Barysh,ru,Р‘Р°СЂС‹С€
T,en,Bataysk,ru,Р‘Р°С‚Р°Р№СЃРє
T,en,Bavly,ru,Р‘Р°РІР»С‹
T,en,Baykalsk,ru,Р‘Р°Р№РєР°Р»СЊСЃРє
T,en,Baymak,ru,Р‘Р°Р№РјР°Рє
T,en,Belaya Kalitva,ru,Р‘РµР»Р°СЏ РљР°Р»РёС‚РІР°
T,en,Belaya Kholunitsa,ru,Р‘РµР»Р°СЏ РҐРѕР»СѓРЅРёС†Р°
T,en,Belebey,ru,Р‘РµР»РµР±РµР№
T,en,Belev,ru,Р‘РµР»РµРІ
T,en,Belgorod,ru,Р‘РµР»РіРѕСЂРѕРґ
T,en,Belinsky,ru,Р‘РµР»РёРЅСЃРєРёР№
T,en,Belogorsk,ru,Р‘РµР»РѕРіРѕСЂСЃРє
T,en,Belokurikha,ru,Р‘РµР»РѕРєСѓСЂРёС…Р°
T,en,Belomorsk,ru,Р‘РµР»РѕРјРѕСЂСЃРє
T,en,Belorechensk,ru,Р‘РµР»РѕСЂРµС‡РµРЅСЃРє
T,en,Beloretsk,ru,Р‘РµР»РѕСЂРµС†Рє
T,en,Belovo,ru,Р‘РµР»РѕРІРѕ
T,en,Beloyarsky,ru,Р‘РµР»РѕСЏСЂСЃРєРёР№
T,en,Belozersk,ru,Р‘РµР»РѕР·РµСЂСЃРє
T,en,Bely,ru,Р‘РµР»С‹Р№
T,en,Berdsk,ru,Р‘РµСЂРґСЃРє
T,en,Berezniki,ru,Р‘РµСЂРµР·РЅРёРєРё
T,en,Berezovsky,ru,Р‘РµСЂРµР·РѕРІСЃРєРёР№
T,en,Berezovsky,ru,Р‘РµСЂРµР·РѕРІСЃРєРёР№
T,en,Beslan,ru,Р‘РµСЃР»Р°РЅ
T,en,Bezhetsk,ru,Р‘РµР¶РµС†Рє
T,en,Bikin,ru,Р‘РёРєРёРЅ
T,en,Bilibino,ru,Р‘РёР»РёР±РёРЅРѕ
T,en,Birobidzhan,ru,Р‘РёСЂРѕР±РёРґР¶Р°РЅ
T,en,Birsk,ru,Р‘РёСЂСЃРє
T,en,Biryuch,ru,Р‘РёСЂСЋС‡
T,en,Biryusinsk,ru,Р‘РёСЂСЋСЃРёРЅСЃРє
T,en,Biysk,ru,Р‘РёР№СЃРє
T,en,Blagodarny,ru,Р‘Р»Р°РіРѕРґР°СЂРЅС‹Р№
T,en,Blagoveshchensk,ru,Р‘Р»Р°РіРѕРІРµС‰РµРЅСЃРє
T,en,Blagoveshchensk,ru,Р‘Р»Р°РіРѕРІРµС‰РµРЅСЃРє
T,en,Bobrov,ru,Р‘РѕР±СЂРѕРІ
T,en,Bodaybo,ru,Р‘РѕРґР°Р№Р±Рѕ
